Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros,Artists
"Emerge Unscathed","White","{W}","1","C","(Iconic Masters)","Instant","0","0","""Target creature you control gains protection from the color of your choice until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)""","0","""• Rebound will have no effect on copies of spells because you don’t cast them from your hand.
• If a spell with rebound that you cast from your hand doesn’t resolve for any reason (due being countered by a spell like Cancel, or because all of its targets are illegal), rebound has no effect. The spell is simply put into your graveyard. You won’t get to cast it again next turn.
• If you cast a spell with rebound from anywhere other than your hand (such as from your graveyard due to Sins of the Past, from your library due to cascade, or from your opponent’s hand due to Sen Triplets), rebound won’t have any effect. If you do cast it from your hand, rebound will work regardless of whether you paid its mana cost (for example, if you cast it from your hand due to Maelstrom Archangel).
• If a replacement effect would cause a spell with rebound that you cast from your hand to be put somewhere else instead of your graveyard (such as Leyline of the Void might), you choose whether to apply the rebound effect or the other effect as the spell resolves.
• If you cast a spell with rebound from your hand and it resolves, it isn’t put into your graveyard. Rather, it’s exiled directly from the stack. Effects that care about cards being put into your graveyard won’t do anything.
• At the beginning of your upkeep, all delayed triggered abilities created by rebound effects trigger. You may handle them in any order. If you want to cast a card this way, you do so as part of the resolution of its delayed triggered ability. Timing restrictions based on the card’s type (if it’s a sorcery) are ignored. Other restrictions are not (such as the one from Rule of Law).
• If you are unable to cast a card from exile this way, or you choose not to, nothing happens when the delayed triggered ability resolves. The card remains exiled for the rest of the game, and you won’t get another chance to cast the card. The same is true if the ability is countered (due to Stifle, perhaps).
• If you cast a card from exile this way, it will go to your graveyard when it resolves, fails to resolve, or is countered. It won’t go back to exile.
• You choose the color as Emerge Unscathed resolves. Once you choose a color, it’s too late for players to respond.""","301565","19","","2023-Feb-13_05:17:12","USD","3671","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438585","11","$0.42","$4.62","11","11x","","d016f166-183e-4d9e-9292-9bfb1ca0d72b","145369","","0","Steve Argyle"
"Eternal Thirst","Black","{1}{B}","2","C","(Iconic Masters)","Enchantment — Aura","0","0","""Enchant creature
Enchanted creature has lifelink and ""Whenever a creature an opponent controls dies, put a +1/+1 counter on this creature."" (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)""","0","""• Multiple instances of lifelink on the same creature are redundant.
• If the enchanted creature is dealt lethal damage at the same time as a creature an opponent controls, they’re destroyed at the same time. It won’t receive a +1/+1 counter from its ability in time to save it.""","301457","89","","2023-Feb-13_05:44:42","USD","3706","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438655","7","$0.25","$1.75","7","7x","","14ab1802-1756-44cf-8cf5-ca69f24875f2","145429","","0","Clint Cearley"
"Evolving Wilds","Land","","0","C","(Iconic Masters)","Land","0","0","""{T}, Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.""","0","""""","301535","235","","2023-Feb-13_06:20:11","USD","3763","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438801","7","$0.25","$1.75","7","7x","","40a2804d-d925-4950-8542-608f6e92387a","145349","","0","Andreas Rocha"
"Festering Newt","Black","{B}","1","C","(Iconic Masters)","Creature — Salamander","1","1","""When Festering Newt dies, target creature an opponent controls gets -1/-1 until end of turn. That creature gets -4/-4 instead if you control a creature named Bogbrew Witch.""","0","""• Whether you control a creature named Bogbrew Witch is checked only as the triggered ability resolves. How the target creature is affected won’t change if you gain or lose control of all your Bogbrew Witches later in the turn.""","301458","90","","2023-Feb-13_05:45:15","USD","3707","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438656","11","$0.21","$2.31","11","11x","","05764968-0abe-4a6f-9f8a-066a4d484571","145313","","0","Eric Deschamps"
"Foul-Tongue Invocation","Black","{2}{B}","3","C","(Iconic Masters)","Instant","0","0","""As an additional cost to cast this spell, you may reveal a Dragon card from your hand.
Target player sacrifices a creature. If you revealed a Dragon card or controlled a Dragon as you cast this spell, you gain 4 life.""","0","""• If you don’t reveal a Dragon card from your hand, you must control a Dragon as you are finished casting the spell to get the bonus. For example, if you lose control of your only Dragon while casting the spell (because, for example, you sacrificed it to activate a mana ability), you won’t get the bonus.
• You may cast Foul-Tongue Invocation targeting a player who controls no creatures. If you qualify for the “Dragon bonus,” you’ll just gain 4 life.
• If one of these spells is copied, the controller of the copy will get the “Dragon bonus” only if a Dragon card was revealed as an additional cost. The copy wasn’t cast, so whether you controlled a Dragon won’t matter.
• You can’t reveal more than one Dragon card to multiply the bonus. There is also no additional benefit for both revealing a Dragon card as an additional cost and controlling a Dragon as you cast the spell.""","301459","91","","2023-Feb-13_05:45:47","USD","3708","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438657","16","$0.24","$3.84","16","16x","","0b77ed75-05d4-4eb3-8c19-dada6b8bb116","145437","","0","Daarken"
"Frost Lynx","Blue","{2}{U}","3","C","(Iconic Masters)","Creature — Elemental Cat","2","2","""When Frost Lynx enters the battlefield, tap target creature an opponent controls. That creature doesn't untap during its controller's next untap step.""","0","""• Frost Lynx’s triggered ability can target a creature that’s already tapped. That creature won’t untap during its controller’s next untap step.""","301578","57","","2023-Feb-13_05:30:47","USD","3689","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438623","10","$0.20","$2.00","10","10x","","fce19a8d-ab1b-415a-ab55-c402c78da5f0","145414","","0","Izzy"
"Furnace Whelp","Red","{2}{R}{R}","4","C","(Iconic Masters)","Creature — Dragon","2","2","""Flying
{R}: Furnace Whelp gets +1/+0 until end of turn.""","0","""""","301475","129","","2023-Feb-13_05:55:24","USD","3724","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438695","13","$0.20","$2.60","13","13x","","1267597a-bbfe-4fb7-91b7-7fee371f0dfd","145466","","0","Shreya Shetty"
"Fury Charm","Red","{1}{R}","2","C","(Iconic Masters)","Instant","0","0","""Choose one —
• Destroy target artifact.
• Target creature gets +1/+1 and gains trample until end of turn.
• Remove two time counters from target permanent or suspended card.""","0","""""","301617","130","","2023-Feb-13_05:56:11","USD","3725","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438696","13","$0.24","$3.12","13","13x","","d585cf04-b823-49c1-a33a-9cd8f3116eda","145470","","0","John Avon"
"Great Teacher's Decree","White","{3}{W}","4","U","(Iconic Masters)","Sorcery","0","0","""Creatures you control get +2/+1 until end of turn.
Rebound (If you cast this spell from your hand, exile it as it resolves. At the beginning of your next upkeep, you may cast this card from exile without paying its mana cost.)""","0","""• Great Teacher’s Decree affects only creatures you control at the time it resolves. It won’t affect creatures that come under your control later in the turn.
• If a spell with rebound that you cast from your hand doesn’t resolve for any reason (either because another spell or ability counters it or because all its targets are illegal as it tries to resolve), none of its effects will happen, including rebound. The spell will be put into its owner’s graveyard and you won’t get to cast it again on your next turn.
• At the beginning of your upkeep, all delayed triggered abilities created by rebound effects trigger. You may handle them in any order. If you want to cast a card this way, you do so as part of the resolution of its delayed triggered ability. Timing restrictions based on the card’s type (if it’s a sorcery) are ignored. Other restrictions, such as “Cast [this spell] only during combat,” must be followed.
• As long as you cast a spell with rebound from your hand, rebound will work regardless of whether you paid its mana cost or an alternative cost you were permitted to pay.
• Casting the card again due to the delayed triggered ability is optional. If you choose not to cast the card, or if you can’t (perhaps because there are no legal targets available), the card will stay exiled. You won’t get another chance to cast it on a future turn.
• If a replacement effect (such as the one created by Rest in Peace) would cause a spell with rebound that you cast from your hand to be put somewhere other than into your graveyard as it resolves, you can choose whether to apply the rebound effect or the other effect as the spell resolves.
• Rebound will have no effect on copies of spells because you don’t cast them from your hand.
• If you cast a card from exile this way, it will go to its owner’s graveyard when it resolves, fails to resolve, or is countered. It won’t go back to exile.
• If you cast a spell with rebound from any zone other than your hand (including your opponent’s hand), rebound will have no effect.""","301418","21","","2023-May-17_15:50:09","USD","5517","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438587","2","$0.25","$0.50","2","2x","","7fc449dc-60c7-4b78-9a73-afa1de64a41e","145371","","0","Zoltan Boros"
"Greater Basilisk","Green","{3}{G}{G}","5","C","(Iconic Masters)","Creature — Basilisk","3","5","""Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)""","0","""""","301634","165","","2023-Feb-13_06:06:34","USD","3740","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438731","9","$0.20","$1.80","9","9x","","886e40d7-5677-493d-9ea4-205f50d2aefe","145513","","0","James Ryman"
"Grisly Spectacle","Black","{2}{B}{B}","4","C","(Iconic Masters)","Instant","0","0","""Destroy target nonartifact creature. Its controller mills cards equal to that creature's power.""","0","""• Use the creature’s power the last time it was on the battlefield to determine how many cards its controller puts into their graveyard.
• If the creature is an illegal target when Grisly Spectacle tries to resolve, it won’t resolve and none of its effects will happen. The creature’s controller won’t put any cards into their graveyard.""","301460","92","","2023-Feb-13_05:46:21","USD","3709","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438658","11","$0.22","$2.42","11","11x","","3ce3816e-0f81-40b6-a592-ba2c65243c6d","145441","","0","Zoltan Boros"
"Guard Duty","White","{W}","1","C","(Iconic Masters)","Enchantment — Aura","0","0","""Enchant creature
Enchanted creature has defender.""","0","""""","301566","22","","2023-Feb-13_05:18:15","USD","3672","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438588","12","$0.20","$2.40","12","12x","","584687fd-59e1-46cb-aca2-3104349407d9","145373","","0","Karl Kopinski"
"Guardian Idol","","{2}","2","C","(Iconic Masters)","Artifact","0","0","""Guardian Idol enters the battlefield tapped.
{T}: Add {C}.
{2}: Guardian Idol becomes a 2/2 Golem artifact creature until end of turn.""","0","""• If Guardian Idol has any +1/+1 counters on it, those counters will remain on it after it stops being a creature. Those counters will have no effect as long as Guardian Idol isn’t a creature, but they will apply again if it later becomes a creature.
• Activating the last ability of Guardian Idol while it’s already a creature will override any effects that set its power or toughness to a specific value. Effects that modify power or toughness without setting them to a specific value will continue to apply.
• A noncreature permanent that turns into a creature can attack, and its {T} abilities can be activated, only if its controller has continuously controlled that permanent since the beginning of their most recent turn. It doesn’t matter how long the permanent has been a creature.""","301524","216","","2023-Feb-13_06:16:14","USD","3756","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438782","13","$0.44","$5.72","13","13x","","db75ea55-294f-40d5-b155-448fe363466a","145432","","0","Igor Kieryluk"
"Guided Strike","White","{1}{W}","2","C","(Iconic Masters)","Instant","0","0","""Target creature gets +1/+0 and gains first strike until end of turn.
Draw a card.""","0","""• If the creature is an illegal target when Guided Strike tries to resolve, it won’t resolve and none of its effects will happen. You won’t draw a card.""","301419","23","","2023-Feb-13_05:18:46","USD","3673","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438589","12","$0.24","$2.88","12","12x","","9696feed-e8e3-434d-b155-1f5734966b49","145374","","0","Dave Dorman"
"Hammerhand","Red","{R}","1","C","(Iconic Masters)","Enchantment — Aura","0","0","""Enchant creature
When Hammerhand enters the battlefield, target creature can't block this turn.
Enchanted creature gets +1/+1 and has haste.""","0","""""","301618","132","","2023-Feb-13_05:57:13","USD","3726","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438698","12","$0.20","$2.40","12","12x","","f980def6-9a87-4948-9d02-956d568a95fe","145472","","0","Tomasz Jedruszek"
"Heat Ray","Red","{X}{R}","1","C","(Iconic Masters)","Instant","0","0","""Heat Ray deals X damage to target creature.""","0","""""","301619","133","","2023-Feb-13_05:58:18","USD","3727","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438699","14","$0.20","$2.80","14","14x","","d59a9859-c50a-4dc5-aae2-56fcafb1792d","145473","","0","Austin Hsu"
"Hunt the Weak","Green","{3}{G}","4","C","(Iconic Masters)","Sorcery","0","0","""Put a +1/+1 counter on target creature you control. Then that creature fights target creature you don't control. (Each deals damage equal to its power to the other.)""","0","""• You can't cast Hunt the Weak unless you choose both a creature you control and a creature you don't control as targets.
• If either target is an illegal target as Hunt the Weak resolves, neither creature will deal or be dealt damage.
• If the creature you control is an illegal target as Hunt the Weak tries to resolve, you won't put a +1/+1 counter on it. If that creature is a legal target but the other creature isn't, you'll still put the counter on the creature you control.""","301635","167","","2023-Feb-13_06:07:05","USD","3741","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438733","9","$0.20","$1.80","9","9x","","52f763a4-8a79-4056-8066-74899a0fb304","145515","","0","Lars Grant-West"
"Infantry Veteran","White","{W}","1","C","(Iconic Masters)","Creature — Human Soldier","1","1","""{T}: Target attacking creature gets +1/+1 until end of turn.""","0","""• An “attacking creature” is one that has been declared as an attacker this combat, or one that was put onto the battlefield attacking this combat. Unless that creature leaves combat, it continues to be an attacking creature through the end of combat step, even if the player it was attacking has left the game, or the planeswalker it was attacking has left combat.""","301567","24","","2023-Feb-13_05:19:20","USD","3674","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438590","14","$0.20","$2.80","14","14x","","ec4b0fd0-045d-4a96-9a57-c7ba1548b4cd","145375","","0","Zoltan Boros"
"Iona's Judgment","White","{4}{W}","5","C","(Iconic Masters)","Sorcery","0","0","""Exile target creature or enchantment.""","0","""""","301568","25","","2023-Feb-13_05:19:53","USD","3675","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438591","10","$0.23","$2.30","10","10x","","d35ad15a-82c8-4cdd-84e7-02ef66fd0d19","145376","","0","Mike Bierek"
"Ivy Elemental","Green","{X}{G}","1","C","(Iconic Masters)","Creature — Elemental","0","0","""Ivy Elemental enters the battlefield with X +1/+1 counters on it.""","0","""""","301495","170","","2023-Feb-13_06:07:35","USD","3742","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438736","10","$0.20","$2.00","10","10x","","704a2367-823f-4e40-8b3c-91115bb9b755","145518","","0","Ron Spencer"
"Jace's Phantasm","Blue","{U}","1","C","(Iconic Masters)","Creature — Illusion","1","1","""Flying
Jace's Phantasm gets +4/+4 as long as an opponent has ten or more cards in their graveyard.""","0","""• The last ability of Jace’s Phantasm constantly monitors each opponent’s graveyard to see if the bonus applies. If the stated condition becomes no longer true, the bonus immediately stops applying.
• If Jace’s Phantasm is dealt lethal damage at the same time as an opponent’s creature, and that creature will become that opponent’s tenth card in their graveyard, Jace’s Phantasm will be destroyed before it gets +4/+4. This is because all creatures that have been dealt lethal damage are destroyed at the same time.
• In a multiplayer game, a single opponent must have ten or more cards in their graveyard for the bonus to apply, although this opponent may change over the course of the game. You don’t have to pick a single opponent; the ability will monitor each opponent’s graveyard.""","301442","60","","2023-Feb-13_05:31:25","USD","3690","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438626","10","$0.35","$3.50","10","10x","","640a1803-552e-4eb4-b48c-04b359acb14a","145306","","0","Johann Bodin"
"Jaddi Offshoot","Green","{G}","1","C","(Iconic Masters)","Creature — Plant","0","3","""Defender
Landfall — Whenever a land enters the battlefield under your control, you gain 1 life.""","0","""• A landfall ability triggers whenever a land enters the battlefield under your control for any reason. It triggers whenever you play a land, as well as whenever a spell or ability puts a land onto the battlefield under your control.
• When a land enters the battlefield under your control, each landfall ability of the permanents you control will trigger. You can put them on the stack in any order. The last ability you put on the stack will be the first one to resolve.
• If the ability has an additional or replacement effect that depends on the land having a certain basic land type, the ability will check that land’s type as the ability resolves. If, at that time, the land that entered the battlefield is no longer on the battlefield, use its types when it left the battlefield to determine what happens.""","301496","171","","2023-Feb-13_06:08:03","USD","3743","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438737","10","$0.25","$2.50","10","10x","","88e69772-50b7-496e-a7b1-702f57a66d64","145280","","0","Daarken"
"Jhessian Thief","Blue","{2}{U}","3","C","(Iconic Masters)","Creature — Human Rogue","1","3","""Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)
Whenever Jhessian Thief deals combat damage to a player, draw a card.""","0","""• Any spell you cast that doesn’t have the type creature will cause prowess to trigger. If a spell has multiple types, and one of those types is creature (such as an artifact creature), casting it won’t cause prowess to trigger. Playing a land also won’t cause prowess to trigger.
• Prowess goes on the stack on top of the spell that caused it to trigger. It will resolve before that spell.
• Once it triggers, prowess isn’t connected to the spell that caused it to trigger. If that spell is countered, prowess will still resolve.""","301443","61","","2023-Feb-13_05:34:03","USD","3691","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438627","7","$0.21","$1.47","7","7x","","1227fb31-2780-48e2-9790-4a7e9a413f75","145277","","0","Miles Johnston"
"Keldon Halberdier","Red","{4}{R}","5","C","(Iconic Masters)","Creature — Human Warrior","4","1","""First strike
Suspend 4—{R} (Rather than cast this card from your hand, you may pay {R} and exile it with four time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)""","0","""• Suspend is a keyword that represents three abilities. The first is a static ability that allows you to exile the card from your hand with the specified number of time counters (the number before the dash) on it by paying its suspend cost (listed after the dash). The second is a triggered ability that removes a time counter from the suspended card at the beginning of each of your upkeeps. The third is a triggered ability that causes you to cast the card when the last time counter is removed. If you cast a creature spell this way, it gains haste until you lose control of that creature (or, in rare cases, you lose control of the creature spell while it’s on the stack).
• You can exile a card in your hand using suspend any time you could cast that card. Consider its card type, any effects that modify when you could cast it (such as flash) and any other effects that stop you from casting it (such as from Meddling Mage’s ability) to determine if and when you can do this. Whether you could actually complete all steps in casting the card is irrelevant. For example, you can exile a card with suspend that has no mana cost or that requires a target even if no legal targets are available at that time.
• Cards exiled with suspend are exiled face up.
• Exiling a card with suspend isn’t casting that card. This action doesn’t use the stack and can’t be responded to.
• If the spell requires any targets, those targets are chosen when the spell is finally cast, not when it’s exiled.
• If an effect refers to a “suspended card,” that means a card that (1) has suspend, (2) is in exile, and (3) has one or more time counters on it.
• If the first triggered ability of suspend (the one that removes time counters) is countered, no time counter is removed. The ability will trigger again at the beginning of the card’s owner’s next upkeep.
• When the last time counter is removed, the second triggered ability of suspend (the one that lets you cast the card) triggers. It doesn’t matter why the last time counter was removed or what effect removed it.
• If the second triggered ability is countered, the card can’t be cast. It remains exiled with no time counters on it, and it’s no longer suspended.
• As the second triggered ability resolves, you must cast the card if able. You must do so even if it requires targets and the only legal targets are ones that you really don’t want to target. Timing permissions based on the card’s type are ignored.
• If you can’t cast the card, perhaps because there are no legal targets available, it remains exiled with no time counters on it, and it’s no longer suspended.
• If you cast a card “without paying its mana cost,” such as with suspend, you can’t choose to cast it for any alternative costs. You can, however, pay additional costs. If the card has any mandatory additional costs, you must pay those if you want to cast the card.
• You are never forced to activate mana abilities to pay costs, so if there is a mandatory additional mana cost (such as from Thalia, Guardian of Thraben), you can decline to activate mana abilities to pay for it and hence fail to cast the suspended card, leaving it in exile.
• If the card has {X} in its mana cost, you must choose 0 as the value of X when casting it without paying its mana cost.
• The mana value of a spell cast without paying its mana cost is determined by its mana cost, even though that cost wasn’t paid.
• A creature cast using suspend will enter the battlefield with haste. It will have haste until another player gains control of it. (In some rare cases, another player may gain control of the creature spell itself. If this happens, the creature won’t enter the battlefield with haste.)""","301620","135","","2023-Feb-13_05:59:02","USD","3728","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438701","14","$0.20","$2.80","14","14x","","3ed95d07-5a9b-4fd9-85ff-9860f6a492d0","145480","","0","Paolo Parente"
"Kiln Fiend","Red","{1}{R}","2","C","(Iconic Masters)","Creature — Elemental Beast","1","2","""Whenever you cast an instant or sorcery spell, Kiln Fiend gets +3/+0 until end of turn.""","0","""• If you cast an instant or sorcery spell, Kiln Fiend’s ability triggers and goes on the stack on top of it. The ability will resolve before the spell does.""","301622","137","","2023-Feb-13_05:59:40","USD","3729","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438703","13","$0.25","$3.25","13","13x","","8c89e7c4-7864-4031-a9e5-38b5d47290ff","145484","","0","Adi Granov"
"Lead the Stampede","Green","{2}{G}","3","C","(Iconic Masters)","Sorcery","0","0","""Look at the top five cards of your library. You may reveal any number of creature cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.""","0","""""","301638","173","","2023-Feb-13_06:08:48","USD","3744","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438739","19","$0.25","$4.75","19","19x","","ebc160fd-e34f-46a1-9a38-5c51a49fe64e","145519","","0","Efrem Palacios"
"Mana Leak","Blue","{1}{U}","2","C","(Iconic Masters)","Instant","0","0","""Counter target spell unless its controller pays {3}.""","0","""""","301582","66","","2023-Feb-13_05:34:49","USD","3692","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438632","13","$0.29","$3.77","13","13x","","247939d9-87e9-4f01-b223-fb4cfa7dbbe1","145421","","0","Howard Lyon"
"Manakin","","{2}","2","C","(Iconic Masters)","Artifact Creature — Construct","1","1","""{T}: Add {C}.""","0","""""","301526","218","","2023-Feb-13_06:16:47","USD","3757","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438784","13","$0.35","$4.55","13","13x","","9f91e78e-9297-4ae3-b55f-d73e79d0d21a","145305","","0","David Palumbo"
"Mark of Mutiny","Red","{2}{R}","3","C","(Iconic Masters)","Sorcery","0","0","""Gain control of target creature until end of turn. Put a +1/+1 counter on it and untap it. That creature gains haste until end of turn. (It can attack and {T} this turn.)""","0","""• Mark of Mutiny can target any creature, even one that you already control or that is already untapped.
• The +1/+1 counter remains on the creature after the control-changing effect ends.""","301623","139","","2023-Feb-13_06:00:15","USD","3730","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438705","15","$0.25","$3.75","15","15x","","a8882153-ad51-4bef-91bd-275a46688320","145488","","0","Mike Bierek"
"Mind Stone","","{2}","2","C","(Iconic Masters)","Artifact","0","0","""{T}: Add {C}.
{1}, {T}, Sacrifice Mind Stone: Draw a card.""","0","""""","301527","219","","2023-Feb-13_06:17:27","USD","3758","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438785","9","$0.49","$4.41","9","9x","","c54814f1-3598-4859-b956-b39d8335e6d3","145435","","0","Adam Rex"
"Mnemonic Wall","Blue","{4}{U}","5","C","(Iconic Masters)","Creature — Wall","0","4","""Defender
When Mnemonic Wall enters the battlefield, you may return target instant or sorcery card from your graveyard to your hand.""","0","""""","301447","67","","2023-Feb-13_05:35:38","USD","3693","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438633","13","$0.25","$3.25","13","13x","","a3e6784b-78e8-4f0b-8d27-d49c7cea9252","145422","","0","Trevor Claxton"
"Moonglove Extract","","{3}","3","C","(Iconic Masters)","Artifact","0","0","""Sacrifice Moonglove Extract: It deals 2 damage to any target.""","0","""""","301657","222","","2023-Feb-13_06:17:58","USD","3759","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438788","16","$0.20","$3.20","16","16x","","2d016c5f-265b-4426-8dd8-87872f075f33","145440","","0","Terese Nielsen"
